"","Date","Value.Value","time"
"1","Feb 1, 2019",2706.69,2019-02-01
"2","Jan 1, 2019",2584.96,2019-01-01
"3","Dec 1, 2018",2567.31,2018-12-01
"4","Nov 1, 2018",2723.23,2018-11-01
"5","Oct 1, 2018",2776.13,2018-10-01
"6","Sep 1, 2018",2896.89,2018-09-01
"7","Aug 1, 2018",2856.6,2018-08-01
"8","Jul 1, 2018",2793.99,2018-07-01
"9","Jun 1, 2018",2754.89,2018-06-01
"10","May 1, 2018",2706.32,2018-05-01
"11","Apr 1, 2018",2669.43,2018-04-01
"12","Mar 1, 2018",2729.67,2018-03-01
"13","Feb 1, 2018",2738.26,2018-02-01
"14","Jan 1, 2018",2836.75,2018-01-01
"15","Dec 1, 2017",2723.93,2017-12-01
"16","Nov 1, 2017",2650.06,2017-11-01
"17","Oct 1, 2017",2612.72,2017-10-01
"18","Sep 1, 2017",2545.55,2017-09-01
"19","Aug 1, 2017",2521.44,2017-08-01
"20","Jul 1, 2017",2526.8,2017-07-01
"21","Jun 1, 2017",2504.37,2017-06-01
"22","May 1, 2017",2466.85,2017-05-01
"23","Apr 1, 2017",2431.81,2017-04-01
"24","Mar 1, 2017",2446.78,2017-03-01
"25","Feb 1, 2017",2410.59,2017-02-01
"26","Jan 1, 2017",2361.3,2017-01-01
"27","Dec 1, 2016",2345.32,2016-12-01
"28","Nov 1, 2016",2260.84,2016-11-01
"29","Oct 1, 2016",2234.41,2016-10-01
"30","Sep 1, 2016",2252.51,2016-09-01
"31","Aug 1, 2016",2271.8,2016-08-01
"32","Jul 1, 2016",2250.8,2016-07-01
"33","Jun 1, 2016",2179.17,2016-06-01
"34","May 1, 2016",2167.09,2016-05-01
"35","Apr 1, 2016",2186.38,2016-04-01
"36","Mar 1, 2016",2140.02,2016-03-01
"37","Feb 1, 2016",2024.31,2016-02-01
"38","Jan 1, 2016",2041.06,2016-01-01
"39","Dec 1, 2015",2188.8,2015-12-01
"40","Nov 1, 2015",2209.51,2015-11-01
"41","Oct 1, 2015",2145.7,2015-10-01
"42","Sep 1, 2015",2059.57,2015-09-01
"43","Aug 1, 2015",2157.32,2015-08-01
"44","Jul 1, 2015",2211.58,2015-07-01
"45","Jun 1, 2015",2217.17,2015-06-01
"46","May 1, 2015",2238.34,2015-05-01
"47","Apr 1, 2015",2231.56,2015-04-01
"48","Mar 1, 2015",2220.22,2015-03-01
"49","Feb 1, 2015",2235.81,2015-02-01
"50","Jan 1, 2015",2187.26,2015-01-01
"51","Dec 1, 2014",2204.97,2014-12-01
"52","Nov 1, 2014",2182.12,2014-11-01
"53","Oct 1, 2014",2056.44,2014-10-01
"54","Sep 1, 2014",2110.52,2014-09-01
"55","Aug 1, 2014",2078.52,2014-08-01
"56","Jul 1, 2014",2087.29,2014-07-01
"57","Jun 1, 2014",2058.97,2014-06-01
"58","May 1, 2014",2002.08,2014-05-01
"59","Apr 1, 2014",1981.95,2014-04-01
"60","Mar 1, 2014",1987.69,2014-03-01
"61","Feb 1, 2014",1950.6,2014-02-01
"62","Jan 1, 2014",1963.54,2014-01-01
"63","Dec 1, 2013",1955.08,2013-12-01
"64","Nov 1, 2013",1928.7,2013-11-01
"65","Oct 1, 2013",1856.22,2013-10-01
"66","Sep 1, 2013",1816.07,2013-09-01
"67","Aug 1, 2013",1799.78,2013-08-01
"68","Jul 1, 2013",1800.42,2013-07-01
"69","Jun 1, 2013",1747.26,2013-06-01
"70","May 1, 2013",1774.25,2013-05-01
"71","Apr 1, 2013",1702.47,2013-04-01
"72","Mar 1, 2013",1679.18,2013-03-01
"73","Feb 1, 2013",1641.75,2013-02-01
"74","Jan 1, 2013",1620.28,2013-01-01
"75","Dec 1, 2012",1561.28,2012-12-01
"76","Nov 1, 2012",1526.66,2012-11-01
"77","Oct 1, 2012",1566.62,2012-10-01
"78","Sep 1, 2012",1572.11,2012-09-01
"79","Aug 1, 2012",1535.39,2012-08-01
"80","Jul 1, 2012",1495.9,2012-07-01
"81","Jun 1, 2012",1453.59,2012-06-01
"82","May 1, 2012",1470.97,2012-05-01
"83","Apr 1, 2012",1518.71,2012-04-01
"84","Mar 1, 2012",1526.39,2012-03-01
"85","Feb 1, 2012",1497.3,2012-02-01
"86","Jan 1, 2012",1446.17,2012-01-01
"87","Dec 1, 2011",1388.58,2011-12-01
"88","Nov 1, 2011",1366.33,2011-11-01
"89","Oct 1, 2011",1343.8,2011-10-01
"90","Sep 1, 2011",1304,2011-09-01
"91","Aug 1, 2011",1318.69,2011-08-01
"92","Jul 1, 2011",1478.38,2011-07-01
"93","Jun 1, 2011",1437.37,2011-06-01
"94","May 1, 2011",1492.74,2011-05-01
"95","Apr 1, 2011",1492.14,2011-04-01
"96","Mar 1, 2011",1471.27,2011-03-01
"97","Feb 1, 2011",1504.56,2011-02-01
"98","Jan 1, 2011",1467.92,2011-01-01
"99","Dec 1, 2010",1427.66,2010-12-01
"100","Nov 1, 2010",1380.99,2010-11-01
"101","Oct 1, 2010",1350.1,2010-10-01
"102","Sep 1, 2010",1294.67,2010-09-01
"103","Aug 1, 2010",1255.25,2010-08-01
"104","Jul 1, 2010",1248.33,2010-07-01
"105","Jun 1, 2010",1252.71,2010-06-01
"106","May 1, 2010",1299.66,2010-05-01
"107","Apr 1, 2010",1384.21,2010-04-01
"108","Mar 1, 2010",1334.19,2010-03-01
"109","Feb 1, 2010",1266.53,2010-02-01
"110","Jan 1, 2010",1306.88,2010-01-01
"111","Dec 1, 2009",1295.94,2009-12-01
"112","Nov 1, 2009",1267.67,2009-11-01
"113","Oct 1, 2009",1244.77,2009-10-01
"114","Sep 1, 2009",1219,2009-09-01
"115","Aug 1, 2009",1179.1,2009-08-01
"116","Jul 1, 2009",1095.25,2009-07-01
"117","Jun 1, 2009",1082.17,2009-06-01
"118","May 1, 2009",1063.53,2009-05-01
"119","Apr 1, 2009",1002.47,2009-04-01
"120","Mar 1, 2009",897.12,2009-03-01
"121","Feb 1, 2009",956.43,2009-02-01
"122","Jan 1, 2009",1033.23,2009-01-01
"123","Dec 1, 2008",1052.09,2008-12-01
"124","Nov 1, 2008",1047.71,2008-11-01
"125","Oct 1, 2008",1127.45,2008-10-01
"126","Sep 1, 2008",1401.93,2008-09-01
"127","Aug 1, 2008",1474.21,2008-08-01
"128","Jul 1, 2008",1440.67,2008-07-01
"129","Jun 1, 2008",1544.89,2008-06-01
"130","May 1, 2008",1632.56,2008-05-01
"131","Apr 1, 2008",1607.88,2008-04-01
"132","Mar 1, 2008",1554.45,2008-03-01
"133","Feb 1, 2008",1613.08,2008-02-01
"134","Jan 1, 2008",1646.29,2008-01-01
"135","Dec 1, 2007",1775.03,2007-12-01
"136","Nov 1, 2007",1754.85,2007-11-01
"137","Oct 1, 2007",1857.28,2007-10-01
